odd,date
1.76,2021-04-25 16:50:58.448419
1.46,2021-04-25 16:51:16.623494
2.75,2021-04-25 16:51:43.888073
2.15,2021-04-25 16:52:08.100219
1.00,2021-04-25 16:52:20.197057
2.48,2021-04-25 16:52:44.464532
3.39,2021-04-25 16:53:14.682803
1.00,2021-04-25 16:53:26.788291
2.85,2021-04-25 16:53:54.015036
20.27,2021-04-25 16:54:57.616530
1.58,2021-04-25 16:55:15.816562
1.00,2021-04-25 16:55:24.911285
1.42,2021-04-25 16:55:43.115600
1.14,2021-04-25 16:55:55.263485
1.12,2021-04-25 16:56:19.543313
1.56,2021-04-25 16:56:37.746829
1.12,2021-04-25 16:56:49.860644
1.33,2021-04-25 16:57:08.015492
1.61,2021-04-25 16:57:26.173074
18.67,2021-04-25 16:58:26.692484
1.04,2021-04-25 16:58:35.776126
1.35,2021-04-25 16:58:50.912605
1.01,2021-04-25 16:59:03.021930
1.15,2021-04-25 16:59:15.131748
3.06,2021-04-25 16:59:45.424632
4.78,2021-04-25 17:00:21.756685
2.47,2021-04-25 17:00:45.955582
8.67,2021-04-25 17:01:34.385323
3.80,2021-04-25 17:02:07.770679
26.07,2021-04-25 17:03:11.392564
1.65,2021-04-25 17:03:29.540097
2.16,2021-04-25 17:03:53.789852
1.67,2021-04-25 17:04:11.941736
4.11,2021-04-25 17:04:48.303579
4.16,2021-04-25 17:05:21.617230
2.15,2021-04-25 17:05:45.861059
1.88,2021-04-25 17:06:07.053583
1.00,2021-04-25 17:06:16.126633
3.89,2021-04-25 17:06:58.575017
1.03,2021-04-25 17:07:10.706610
20.87,2021-04-25 17:08:11.276399
3.04,2021-04-25 17:08:41.581761
1.83,2021-04-25 17:09:02.774119
10.15,2021-04-25 17:09:51.298861
3.04,2021-04-25 17:10:21.634491
2.18,2021-04-25 17:10:42.819725
1.10,2021-04-25 17:10:54.937360
1.09,2021-04-25 17:11:07.085589
2.55,2021-04-25 17:11:34.331957
4.33,2021-04-25 17:12:10.728479
10.07,2021-04-25 17:12:59.159277
20.04,2021-04-25 17:13:59.733383
13.41,2021-04-25 17:14:54.212950
47.08,2021-04-25 17:16:09.907355
6.05,2021-04-25 17:16:49.265764
3.14,2021-04-25 17:17:19.605772
7.54,2021-04-25 17:18:05.013925
1.00,2021-04-25 17:18:14.092996
51.89,2021-04-25 17:19:29.814173
5.81,2021-04-25 17:20:12.212453
1.00,2021-04-25 17:20:21.287164
3.46,2021-04-25 17:21:03.721402
2.60,2021-04-25 17:21:30.994184
1.09,2021-04-25 17:21:43.120155
2.09,2021-04-25 17:22:04.339134
1.64,2021-04-25 17:22:25.539044
4.06,2021-04-25 17:22:58.857710
1.00,2021-04-25 17:23:07.934780
4.12,2021-04-25 17:23:44.246277
1.36,2021-04-25 17:23:59.385317
11.08,2021-04-25 17:24:50.854810
1.22,2021-04-25 17:25:03.012086
4.40,2021-04-25 17:25:39.383118
1.06,2021-04-25 17:25:51.501856
13.44,2021-04-25 17:26:46.018679
1.22,2021-04-25 17:26:58.133794
1.02,2021-04-25 17:27:10.276488
13.86,2021-04-25 17:28:04.765780
1.36,2021-04-25 17:28:19.918173
2.85,2021-04-25 17:28:47.164002
1.22,2021-04-25 17:29:02.324463
1.48,2021-04-25 17:29:17.471460
1.07,2021-04-25 17:29:29.583501
1.61,2021-04-25 17:29:47.774494
1.39,2021-04-25 17:30:05.937260
6.46,2021-04-25 17:30:48.313819
8.00,2021-04-25 17:31:30.781574
1.00,2021-04-25 17:31:42.893807
22.75,2021-04-25 17:32:46.544424
3.39,2021-04-25 17:33:16.829654
1.02,2021-04-25 17:33:25.902176
1.73,2021-04-25 17:33:47.112910
1.02,2021-04-25 17:33:56.198287
1.51,2021-04-25 17:34:14.349573
1.92,2021-04-25 17:34:35.597733
4.15,2021-04-25 17:35:11.907574
2.12,2021-04-25 17:35:36.127446
1.00,2021-04-25 17:35:45.227799
2.07,2021-04-25 17:36:06.465927
3.34,2021-04-25 17:36:39.779226
1.81,2021-04-25 17:36:57.964613
3.73,2021-04-25 17:37:31.276473
1.00,2021-04-25 17:37:43.427048
9.55,2021-04-25 17:38:28.830229
1.19,2021-04-25 17:38:43.955160
